Year,Month,Month_Name,Monitoring_Station,City,Days_in_Month,AQI_Mean,AQI_Median,AQI_Min,AQI_Max,AQI_Std,PM2.5_Mean,PM10_Mean,NO₂_Mean,SO₂_Mean,CO_Mean,O₃_Mean,NH₃_Mean,Temp_Mean,Humidity_Mean,Wind_Speed_Mean,Rainfall_Total,Most_Common_Category,Days_Good,Days_Satisfactory,Days_Moderate,Days_Poor,Days_Very_Poor,Days_Severe
2015,1,January,Anand Vihar,Delhi,31,243.3,246.9,140.4,331.4,39.1,85.7,378.6,97.3,48.8,2.44,121.7,487.1,16.8,48.7,3.7,0.0,Poor,0,0,4,25,1,1
2015,1,January,Bawana,Delhi,31,240.7,241.0,148.6,339.0,44.8,84.3,370.7,96.4,48.4,2.39,120.1,485.0,16.2,48.2,4.0,0.2,Poor,0,0,6,22,3,0
2015,1,January,DTU,Delhi,31,218.4,220.3,141.8,318.8,43.4,76.1,337.7,88.0,43.5,2.18,108.3,432.3,14.4,49.7,3.9,0.0,Poor,0,0,12,17,2,0
2015,1,January,Dwarka,Delhi,31,209.5,201.1,121.4,297.7,44.1,74.7,319.9,83.4,41.9,2.1,103.8,414.0,15.5,46.9,3.9,1.5,Poor,0,0,14,16,0,1
2015,1,January,ITO,Delhi,31,217.6,221.3,130.6,284.5,41.7,76.0,335.1,87.3,42.8,2.19,109.0,434.2,15.8,50.5,4.4,0.0,Poor,0,0,10,21,0,0
2015,1,January,Jahangirpuri,Delhi,31,213.8,199.5,102.2,359.4,54.6,75.6,328.9,86.7,42.0,2.15,106.4,429.3,16.4,50.5,3.2,0.0,Moderate,0,0,16,13,2,0
2015,1,January,Lodhi Road,Delhi,31,196.9,197.6,109.7,315.3,41.7,69.6,300.4,79.3,39.8,2.01,98.7,393.7,14.6,48.1,4.0,0.0,Moderate,0,0,16,14,1,0
2015,1,January,Mandir Marg,Delhi,31,178.9,169.0,106.1,250.3,33.9,61.6,272.7,71.9,36.3,1.76,88.4,359.8,15.1,47.1,3.6,0.0,Moderate,0,0,21,10,0,0
2015,1,January,Punjabi Bagh,Delhi,31,207.8,215.9,77.6,313.0,42.3,75.0,322.3,81.5,41.8,2.09,104.5,421.4,15.8,52.3,3.8,0.0,Poor,0,1,11,18,1,0
2015,1,January,RK Puram,Delhi,31,193.9,180.7,110.9,297.3,48.0,68.4,298.4,78.0,39.0,1.94,97.3,382.7,15.7,50.1,4.3,0.0,Moderate,0,0,17,14,0,0
2015,2,February,Anand Vihar,Delhi,28,247.1,247.8,145.1,337.2,52.7,86.9,379.2,98.9,49.5,2.49,122.6,494.1,15.2,52.5,3.9,0.7,Poor,0,0,7,17,4,0
2015,2,February,Bawana,Delhi,28,242.2,244.6,132.6,345.0,54.8,84.6,369.2,97.7,49.0,2.42,121.9,481.6,15.2,54.7,4.5,0.8,Poor,0,0,6,18,4,0
2015,2,February,DTU,Delhi,28,200.4,201.1,99.3,291.5,44.9,71.6,310.6,80.0,39.9,2.02,100.5,405.4,13.5,44.5,3.9,0.0,Poor,0,1,13,14,0,0
2015,2,February,Dwarka,Delhi,28,193.5,200.6,82.8,284.9,49.4,66.9,299.7,77.6,38.9,1.91,96.0,386.7,13.3,47.1,4.0,0.0,Poor,0,1,12,13,0,2
2015,2,February,ITO,Delhi,28,220.4,224.7,80.4,315.6,52.1,76.1,335.6,88.0,44.5,2.21,110.3,438.0,14.3,49.7,3.6,0.1,Poor,0,1,6,19,2,0
2015,2,February,Jahangirpuri,Delhi,28,221.1,223.8,144.8,294.4,43.4,76.7,344.1,89.4,44.4,2.23,110.8,445.7,13.0,50.7,3.9,0.0,Poor,0,0,10,18,0,0
2015,2,February,Lodhi Road,Delhi,28,178.3,174.4,104.0,282.8,39.2,62.4,275.0,71.1,35.2,1.81,88.2,359.8,14.6,51.1,3.6,0.6,Moderate,0,0,20,7,0,1
2015,2,February,Mandir Marg,Delhi,28,181.2,175.3,60.4,311.2,53.7,62.2,279.1,72.0,36.3,1.84,89.4,355.7,15.0,52.5,4.7,0.4,Moderate,0,1,15,11,1,0
2015,2,February,Punjabi Bagh,Delhi,28,193.8,194.1,93.5,296.6,42.2,67.5,300.2,77.7,38.9,1.9,97.8,381.7,15.6,49.5,3.6,1.1,Moderate,0,1,16,11,0,0
2015,2,February,RK Puram,Delhi,28,179.1,172.4,116.3,242.5,33.2,63.1,273.1,71.9,35.7,1.8,88.9,360.5,15.5,48.8,4.0,0.7,Moderate,0,0,20,7,0,1
2015,3,March,Anand Vihar,Delhi,31,152.5,139.6,81.2,259.8,43.1,52.9,234.3,61.3,31.1,1.52,75.2,302.2,34.1,51.9,8.1,2.0,Moderate,0,2,24,5,0,0
2015,3,March,Bawana,Delhi,31,161.8,163.9,51.5,250.2,45.4,56.5,248.9,63.9,32.3,1.6,82.5,321.0,35.4,49.8,8.0,0.2,Moderate,0,3,23,5,0,0
2015,3,March,DTU,Delhi,31,143.9,142.1,72.9,277.5,47.4,50.3,220.8,57.7,28.5,1.44,73.3,288.6,32.7,46.8,7.4,0.9,Moderate,0,6,21,3,0,1
